match_id,season_id,league_id,matchday,home_team_id,away_team_id,winner,utc_date
436062,1,1,12,11,10,HOME_TEAM,2023-11-11
436054,1,1,12,1,12,HOME_TEAM,2023-11-11
436058,1,1,12,14,4,AWAY_TEAM,2023-11-11
436060,1,1,12,8,16,HOME_TEAM,2023-11-11
436053,1,1,12,20,9,HOME_TEAM,2023-11-11
436055,1,1,12,2,5,HOME_TEAM,2023-11-12
436056,1,1,12,17,15,DRAW,2023-11-12
436059,1,1,12,6,18,HOME_TEAM,2023-11-12
436061,1,1,12,19,13,HOME_TEAM,2023-11-12
436057,1,1,12,3,7,DRAW,2023-11-12
436068,1,1,13,7,6,DRAW,2023-11-25
436064,1,1,13,12,19,AWAY_TEAM,2023-11-25
436067,1,1,13,16,14,HOME_TEAM,2023-11-25
436069,1,1,13,9,3,HOME_TEAM,2023-11-25
436070,1,1,13,13,17,AWAY_TEAM,2023-11-25
436071,1,1,13,15,20,AWAY_TEAM,2023-11-25
436063,1,1,13,18,1,AWAY_TEAM,2023-11-25
436072,1,1,13,10,2,AWAY_TEAM,2023-11-26
436065,1,1,13,4,8,AWAY_TEAM,2023-11-26
436066,1,1,13,5,11,HOME_TEAM,2023-11-27
436074,1,1,14,1,11,HOME_TEAM,2023-12-02
436075,1,1,14,18,16,HOME_TEAM,2023-12-02
436076,1,1,14,12,15,HOME_TEAM,2023-12-02
436081,1,1,14,13,4,AWAY_TEAM,2023-12-02
436080,1,1,14,9,8,HOME_TEAM,2023-12-02
436073,1,1,14,20,2,DRAW,2023-12-03
436077,1,1,14,3,17,HOME_TEAM,2023-12-03
436078,1,1,14,6,5,HOME_TEAM,2023-12-03
436082,1,1,14,19,14,DRAW,2023-12-03
436079,1,1,14,7,10,DRAW,2023-12-03
436090,1,1,15,11,12,HOME_TEAM,2023-12-05
436087,1,1,15,16,1,AWAY_TEAM,2023-12-05
436084,1,1,15,17,18,HOME_TEAM,2023-12-06
436086,1,1,15,5,13,HOME_TEAM,2023-12-06
436088,1,1,15,15,6,AWAY_TEAM,2023-12-06
436091,1,1,15,14,20,AWAY_TEAM,2023-12-06
436083,1,1,15,2,7,HOME_TEAM,2023-12-06
436092,1,1,15,8,3,HOME_TEAM,2023-12-06
436085,1,1,15,4,9,HOME_TEAM,2023-12-07
436089,1,1,15,10,19,AWAY_TEAM,2023-12-07
436095,1,1,16,14,6,AWAY_TEAM,2023-12-09
436094,1,1,16,17,12,DRAW,2023-12-09
